Winner,Matches diff,Winrates diff,Counter picks winrate diff,Synergies winrates diff,Networthes diff,Signatures diff,R1 rank,R2 rank,R3 rank,R4 rank,R5 rank,D1 rank,D2 rank,D3 rank,D4 rank,D5 rank
0,-11333,-0.0084,0.03513,-0.00513,-1918,-1,141,156,15,15,100,19,29,1,6,153
0,8208,-0.0116,-0.01034,-0.01126,-1631,0,62,67,3,213,42,19,29,1,6,153
0,-8208,0.0116,0.04882,0.02032,3319,-1,19,29,1,6,153,62,67,213,3,42
0,8208,-0.0116,-0.06449,-0.00254,1815,1,62,67,213,3,42,19,29,1,6,153
1,-7181,0.0064,-0.00085,0.02585,1605,1,19,5,96,37,125,141,156,15,15,100
0,7181,-0.0064,-0.02151,-0.02763,-1084,0,141,156,15,15,100,19,5,96,37,125
1,29579,-0.0334,0.00454,0.0,3659,1,62,67,3,213,42,124,10,167,273,196
1,29579,-0.0334,-0.00455,0.00084,2370,1,62,67,3,213,42,10,167,124,273,196
1,31214,-0.0202,-0.02775,0.02482,1949,1,19,29,1,6,153,353,148,214,251,66
1,31214,-0.0202,0.06764,0.00627,-251,0,19,29,1,6,153,353,148,214,251,66
1,-31214,0.0202,0.00647,-0.01931,-1479,-1,353,148,214,251,66,19,29,1,6,153
0,-7257,-0.0026,0.01536,-0.01359,305,1,23,5,55,387,384,167,10,124,273,196
0,-7257,-0.0026,-0.02039,-0.00263,-1726,1,23,5,55,387,384,167,10,124,273,196
1,-7257,-0.0026,-0.03989,-0.0143,-3767,0,23,5,55,387,384,124,10,167,273,196
0,16396,-0.0218,0.01301,-0.00116,-664,0,353,138,35,31,8,353,148,214,251,66
0,-16396,0.0218,0.01584,0.00342,972,0,353,148,214,251,66,353,138,35,8,31
0,16396,-0.0218,0.01853,-0.04934,-1880,1,353,138,35,31,8,353,148,214,251,66
0,26722,-0.0096,0.02049,0.01771,797,0,62,67,213,3,42,19,5,96,37,125
1,26722,-0.0096,-0.02628,-0.03972,0,-1,62,67,213,3,42,19,5,96,37,125
1,-26722,0.0096,-0.04456,-0.00699,-93,0,19,5,96,37,125,62,67,213,3,42
1,-11333,-0.0084,0.04068,-0.01177,-1829,-1,141,156,15,15,100,19,29,1,6,153
0,11333,0.0084,-0.02941,0.00958,142,0,19,29,1,6,153,141,156,15,15,100
1,6643,0.006,0.00731,-0.0021,-477,0,23,5,55,384,387,12,140,122,85,11
1,3485,-0.0068,0.00286,0.00855,448,1,141,156,15,15,100,353,138,35,31,8
0,-31214,0.0202,0.02271,-0.01415,122,-1,353,148,214,251,66,19,29,1,6,153
1,-13810,0.0208,0.04016,0.03067,2053,0,23,5,55,384,387,353,138,35,31,8
1,23938,-0.0216,0.02317,0.00179,-949,1,141,156,15,15,100,12,140,122,85,11
0,-20453,0.0148,-0.0543,0.01894,123,0,12,140,122,85,11,353,138,31,35,8
0,-17295,0.0276,0.01826,-0.00942,-2435,-1,23,5,55,387,384,141,156,15,15,100
