"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"7709510018","872127","16518","28 apr 2024 01:15","49:12","2952","17-27","17,27","Dire","Tundra Esports","Topson, Whitemon, Tobi, 9Class, Pure","Team Falcons","Sneyking, Cr1t-, skiter, ATF, Malr1ne"
"7708717497","871960","16518","27 apr 2024 10:55","49:27","2967","17-36","17,36","Dire","OG","Ceb, bzm, Timado, Wisper, Ari","Team Falcons","Sneyking, Cr1t-, skiter, ATF, Malr1ne"
"7708577966","871960","16518","27 apr 2024 09:32","47:55","2875","26-33","26,33","Dire","Team Falcons","Sneyking, Cr1t-, skiter, ATF, Malr1ne","OG","Ceb, bzm, Timado, Wisper, Ari"
"7708457781","871960","16518","27 apr 2024 08:08","48:50","2930","17-24","17,24","Dire","OG","Ceb, bzm, Timado, Wisper, Ari","Team Falcons","Sneyking, Cr1t-, skiter, ATF, Malr1ne"
"7708205107","871896","16518","27 apr 2024 06:00","36:39","2199","40-5","40,5","Radiant","BetBoom Team","Nightfall, MieRo', Save-, TORONTOTOKYO, Gpk","Tundra Esports","Topson, Whitemon, Tobi, 9Class, Pure"
"7707965067","871896","16518","27 apr 2024 04:37","51:53","3113","15-26","15,26","Dire","Tundra Esports","Topson, Whitemon, Tobi, 9Class, Pure","BetBoom Team","Nightfall, MieRo', Save-, TORONTOTOKYO, Gpk"
"7707751863","871875","16518","27 apr 2024 02:10","54:48","3288","28-18","28,18","Radiant","OG","Ceb, bzm, Timado, Wisper, Ari","G2 x iG","XNova, JT-, Monet, NothingToSay, BoBoKa"
"7707660658","871875","16518","27 apr 2024 01:00","35:26","2126","34-10","34,10","Radiant","OG","Ceb, bzm, Timado, Wisper, Ari","G2 x iG","XNova, JT-, Monet, NothingToSay, BoBoKa"
"7706880000","871744","16518","27 apr 2024 12:35","36:22","2182","43-10","43,10","Radiant","Team Falcons","Sneyking, Cr1t-, skiter, ATF, Malr1ne","Team Liquid","INSaNiA, Boxi, 33, MiCKe, Nisha"
"7706776644","871744","16518","26 apr 2024 11:06","56:47","3407","29-15","29,15","Radiant","Team Falcons","Sneyking, Cr1t-, skiter, ATF, Malr1ne","Team Liquid","INSaNiA, Boxi, 33, MiCKe, Nisha"
"7706682984","871744","16518","26 apr 2024 10:00","33:34","2014","26-12","26,12","Radiant","Team Liquid","INSaNiA, Boxi, 33, MiCKe, Nisha","Team Falcons","Sneyking, Cr1t-, skiter, ATF, Malr1ne"
"7706551337","871679","16518","26 apr 2024 08:26","43:16","2596","9-25","9,25","Dire","Xtreme Gaming","Xxs, Xm, Dy, XinQ, Ame","G2 x iG","XNova, JT-, Monet, NothingToSay, BoBoKa"
"7706395166","871679","16518","26 apr 2024 07:06","50:07","3007","8-40","8,40","Dire","Xtreme Gaming","Xxs, Xm, Dy, XinQ, Ame","G2 x iG","XNova, JT-, Monet, NothingToSay, BoBoKa"
"7706202114","871679","16518","26 apr 2024 05:17","1:18:50","4730","28-34","28,34","Radiant","Xtreme Gaming","Xxs, Xm, Dy, XinQ, Ame","G2 x iG","XNova, JT-, Monet, NothingToSay, BoBoKa"
"7706002180","871651","16518","26 apr 2024 03:41","31:45","1905","15-36","15,36","Dire","Heroic","KJ, 4nalog, Davai Lama, Scofield, K1","Team Liquid","INSaNiA, Boxi, 33, MiCKe, Nisha"
"7705829352","871651","16518","26 apr 2024 02:13","54:13","3253","20-35","20,35","Dire","Team Liquid","INSaNiA, Boxi, 33, MiCKe, Nisha","Heroic","KJ, 4nalog, Davai Lama, Scofield, K1"
